Nuts Prov;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;SUMA
ES511;Barcelona;;;;;;;;;;;;12;11;12;4;
ES512;Girona;;;;;;;;;;;;0;1;1;0;
ES513;Lleida;;;;;;;;;;;;0;0;0;1;
ES514;Tarragona;;;;;;;;;;;;1;0;1;3;
ES521;Alicante;;;;;;;;;;;;6;1;5;9;
ES522;Castellón;;;;;;;;;;;;2;0;1;1;
ES523;Valencia;;;;;;;;;;;;5;8;11;9;
ES431;Badajoz;;;;;;;;;;;;2;0;0;0;
ES432;Cáceres;;;;;;;;;;;;0;0;1;3;
ES111;A Coruña;;;;;;;;;;;;4;2;2;4;
ES112;Lugo;;;;;;;;;;;;0;0;0;1;
ES113;Ourense;;;;;;;;;;;;0;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;4;5;2;2;
ES532;Illes Balears;;;;;;;;;;;;1;1;4;0;
ES230;La Rioja;;;;;;;;;;;;1;0;0;3;
ES300;Madrid;;;;;;;;;;;;25;20;18;33;
ES620;Murcia;;;;;;;;;;;;7;0;4;5;
ES220;Navarra;;;;;;;;;;;;1;2;2;3;
ES211;Araba/Álava;;;;;;;;;;;;2;0;0;1;
ES212;Bizkaia;;;;;;;;;;;;0;0;1;0;
ES213;Gipuzkoa;;;;;;;;;;;;3;1;1;1;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;16;13;14;9;
ES611;Almería;;;;;;;;;;;;1;2;0;0;
ES612;Cádiz;;;;;;;;;;;;2;2;2;2;
ES613;Córdoba;;;;;;;;;;;;4;1;0;3;
ES614;Granada;;;;;;;;;;;;2;2;2;1;
ES615;Huelva;;;;;;;;;;;;0;1;1;1;
ES616;Jaén;;;;;;;;;;;;2;3;1;1;
ES617;Málaga;;;;;;;;;;;;1;1;1;3;
ES618;Sevilla;;;;;;;;;;;;3;7;4;4;
ES241;Huesca;;;;;;;;;;;;1;0;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;1;
ES243;Zaragoza;;;;;;;;;;;;1;1;0;1;
ES120;Asturias;;;;;;;;;;;;1;3;0;5;
ES705;Las Palmas;;;;;;;;;;;;0;0;2;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;2;5;0;0;
ES130;Cantabria;;;;;;;;;;;;1;0;1;4;
ES421;Albacete;;;;;;;;;;;;0;2;0;0;
ES422;Ciudad Real;;;;;;;;;;;;0;2;0;1;
ES423;Cuenca;;;;;;;;;;;;0;0;0;0;
ES424;Guadalajara;;;;;;;;;;;;1;0;0;0;
ES425;Toledo;;;;;;;;;;;;0;0;1;1;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;8;0;0;0;
ES413;León;;;;;;;;;;;;2;1;1;2;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;2;0;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;2;3;5;2;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;11;16;11;6;
ES512;Girona;;;;;;;;;;;;2;3;2;0;
ES513;Lleida;;;;;;;;;;;;0;0;2;0;
ES514;Tarragona;;;;;;;;;;;;2;0;0;0;
ES521;Alicante;;;;;;;;;;;;3;7;5;9;
ES522;Castellón;;;;;;;;;;;;1;3;2;4;
ES523;Valencia;;;;;;;;;;;;13;10;10;8;
ES431;Badajoz;;;;;;;;;;;;4;1;0;0;
ES432;Cáceres;;;;;;;;;;;;0;1;0;1;
ES111;A Coruña;;;;;;;;;;;;2;5;2;6;
ES112;Lugo;;;;;;;;;;;;0;0;0;0;
ES113;Ourense;;;;;;;;;;;;0;2;0;0;
ES114;Pontevedra;;;;;;;;;;;;2;4;3;1;
ES532;Illes Balears;;;;;;;;;;;;0;3;0;2;
ES230;La Rioja;;;;;;;;;;;;2;2;0;0;
ES300;Madrid;;;;;;;;;;;;37;23;27;24;
ES620;Murcia;;;;;;;;;;;;6;5;7;6;
ES220;Navarra;;;;;;;;;;;;1;4;1;1;
ES211;Araba/Álava;;;;;;;;;;;;0;3;1;0;
ES212;Bizkaia;;;;;;;;;;;;4;1;4;3;
